contract_name,hash,year_month,Match_Date,Matched_Attack_Type,Matched_Loss_Amount,predicted_label
SmartMesh_exp,0x1abab4c8db9a30e703114528e31dee129a3a758f7f8abc3b6494aad3d304e43f,18-Apr,20180424,Overflow,,1
Bitpaidio_exp,0x1ae499ccf292a2ee5e550702b81a4a7f65cd03af2c604e2d401d52786f459ba6,23-May,20240427,Precision Loss,,1
TCH_exp,0x1b2d836049713075b8e46076331332d0bfe8ecfa5dfa94f1c5b0b70700e68d53,24-May,20240517,Signature Malleability Vulnerability,,0
FPR_exp,0x1b66170220287bd90f72a97368f8dea2420a24c9585e9f39bf236af6d2a7dde6,22-Dec,20231018,Div Precision Loss,,1
TIFI_exp,0x1c5272ce35338c57c6b9ea710a09766a17bbf14b61438940c3072ed49bfec402,22-Dec,20221210,Flashloan Price Manipulation,,1
RadiantCapital_exp,0x1ce7e9a9e3b6dd3293c9067221ac3260858ce119ecb7ca860eac28b2474c7c9b,24-Jan,20240124,Business Logic Flaw,,1
BurnsDefi_exp,0x1d0af3a963682748493f21bf9e955ce3a950bee5817401bf2486db7a0af104b4,24-Feb,20240224,Business Logic Flaw,,1
DAO_SoulMate_exp,0x1ea0a2e88efceccb2dd93e6e5cb89e5421666caeefb1e6fc41b68168373da342,24-Jan,20240122,Incorrect Access Control,,1
DominoTT_exp,0x1ee617cd739b1afcc673a180e60b9a32ad3ba856226a68e8748d58fcccc877a8,23-Dec,20231228,Precision Loss,,1
LUSD_exp,0x1eeef7b9a12b13f82ba04a7951c163eb566aa048050d6e9318b725d7bcec6bfa,23-Jul,20230707,Price Manipulation Attack,,1
EFLeverVault_exp,0x1f1aba5bef04b7026ae3cb1cb77987071a8aff9592e785dd99860566ccad83d1,22-Oct,20221015,Verify Flashloan Callback,,1
FPR_exp,0x1f8e814029a073c52a8668e6ff5bb3264445a8b29886cc9e3ca8ed5f89ccacd3,22-Dec,20231019,Div Precision Loss,,1
EFVault_exp,0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,23-Feb,20230224,Storage Collision,,1
NewFreeDAO_exp,0x1fea385acf7ff046d928d4041db017e1d7ead66727ce7aacb3296b9d485d4a26,22-Sep,20220908,Flashloans Attack,,1
WECO_exp,0x2040a481c933b50ee31aba257c2041c48bb7a0b4bf4b4fad1ac165f19c4269e8,23-Nov,20231023,Flash Loan Attack,,1
PHIL_exp,0x20ecd8310a2cc7f7774aa5a045c8a99ad84a8451d6650f24e0911e9f4355b13a,23-Dec,20231214,Business Logic Flaw,,0
OpenLeverage2_exp,0x210071108f3e5cd24f49ef4b8bcdc11804984b0c0334e18a9a2cdb4cd5186067,24-Apr,20240424,Oracle Price Manipulation,,1
ChaingeFinance_exp,0x21d8b164f0cb8beb1ed27d164ed986c3fc26b33655ce18226b05b9cfcf6cd93c,24-Apr,20240416,Arbitrary External Call,,1
SpankChain_exp,0x21e9d20b57f6ae60dac23466c8395d47f42dc24628e5a31f224567a2b4effa88,18-Oct,20181007,Reentrancy,,1
Seneca_exp,0x23fcf9d4517f7cc39815b09b0a80c023ab2c8196c826c93b4100f2e26b701286,24-Feb,20240228,Arbitrary External Call Vulnerability,,1
UwuLend_First_exp,0x242a0fb4fde9de0dc2fd42e8db743cbc197ffa2bf6a036ba0bba303df296408b,24-Jun,20240610,Price Manipulation,,1
SELLC_exp,0x247e61bd0f41f9ec56a99558e9bbb8210d6375c2ed6efa4663ee6a960349b46d,23-May,20230511,Business Logic Flaw,,1
ZongZi_exp,0x247f4b3dbde9d8ab95c9766588d80f8dae835129225775ebd05a6dd2c69cd79f,24-Mar,20240325,Price Manipulation,,1
TrustPad_exp,0x2490368b43951caa8bf6f730bf0aaa0bcc2657d6f64fdcc3b0372b6500d0dcfc,23-Nov,20231107,Lack of MsgSender Address Verification,,1
MicDao_exp,0x24a2fbb27d433d91372525954f0d7d1af7509547b9ada29cc6c078e732c6d075,23-Oct,20231018,Price Manipulation,,1
BUNN_exp,0x24a68d2a4bbb02f398d3601acfd87b09f543d935fc24862c314aaf64c295acdb,23-Jun,20240522,Sandwich Ack,,1
Shell_MEV_a898_exp,0x24f114c0ef65d39e0988d164e052ce8052fe4a4fd303399a8c1bb855e8da01e9,24-Jan,20240115,Lack of Access Control,,1
MorphoBlue_exp,0x256979ae169abb7fbbbbc14188742f4b9debf48b48ad5b5207cadcc99ccb493b,24-Oct,20241013,Overpriced Asset in Oracle,,0
