contract_name,hash,year_month,匹配日期,匹配攻击类型
BelugaDex_exp,0x57c96e320a3b885fabd95dd476d43c0d0fb10500d940d9594d4a458471a87abe,23-Oct,20221212,Deflationary Token & Flashloan Price Manipulation
ElasticSwap_exp,0xb36486f032a450782d5d2fac118ea90a6d3b08cac3409d949c59b43bcd6dbb8f,22-Dec,20221213,Business Logic Flaw
Defrost_exp,0xc6fb8217e45870a93c25e2098f54f6e3b24674a3083c30664867de474bf0212d,22-Dec,20221223,Reentrancy
DFS_exp,0xcddcb447d64c2ce4b3ac5ebaa6d42e26d3ed0ff3831c08923c53ea998f598a7c,22-Dec,20221230,Insufficient Validation & Flashloan
GDS_exp,0x2bb704e0d158594f7373ec6e53dc9da6c6639f269207da8dab883fc3b5bf6694,23-Jan,20230103,Business Logic Flaw
GDS_exp,0xf9b6cc083f6e0e41ce5e5dd65b294abf577ef47c7056d86315e5e53aa662251e,23-Jan,20230104,Business Logic Flaw
Bob_exp,0xfb14292a531411f852993e5a3ba4e7eb63ed548220267b9b3f4aacc5572d3a58,23-Dec,20230110,Business Logic Flaw
BEC_exp,0xad89ff16fd1ebe3a0a7cf4ed282302c06626c1af33221ebe0d3a470aba4a660f,18-Apr,20230130,Reflection Token
BNO_exp,0x33fed54de490797b99b2fc7a159e43af57e9e6bdefc2c2d052dc814cfe0096b9,23-Jul,20230202,Price Oracle Manipulation
FFIST_exp,0x199c4b88cab6b4b495b9d91af98e746811dd8f82f43117c48205e6332db9f0e0,23-Jul,20230206,Reflection Token
CowSwap_exp,0x90b468608fbcc7faef46502b198471311baca3baab49242a4a85b73d4924379b,23-Feb,20230207,Arbitrary External Call Vulnerability
dForce_exp,0x5db5c2400ab56db697b3cc9aa02a05deab658e1438ce2f8692ca009cc45171dd,23-Feb,20230210,Read-only Reentrancy
Dexible_exp,0x138daa4cbeaa3db42eefcec26e234fc2c89a4aa17d6b1870fc460b2856fd11a6,23-Feb,20230217,Arbitrary External Call Vulnerability
DYNA_exp,0x06bbe093d9b84783b8ca92abab5eb8590cb2321285660f9b2a529d665d3f18e4,23-Feb,20230222,Business Logic Flaw
DYNA_exp,0xc09678fec49c643a30fc8e4dec36d0507dae7e9123c270e1f073d335deab6cf0,23-Feb,20230223,Business Logic Flaw
EFVault_exp,0x1fe5a53405d00ce2f3e15b214c7486c69cbc5bf165cf9596e86f797f62e81914,23-Feb,20230224,Storage Collision
DKP_exp,0x0c850f54c1b497c077109b3d2ef13c042bb70f7f697201bcf2a4d0cb95e74271,23-Mar,20230308,Flashloan Price Manipulation
DKP_exp,0x2d31e45dce58572a99c51357164dc5283ff0c02d609250df1e6f4248bd62ee01,23-Mar,20230309,Flashloan Price Manipulation
Euler_exp,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,23-Mar,20230313,Business Logic Flaw
BFCToken_exp,0x8ee76291c1b46d267431d2a528fa7f3ea7035629500bba4f87a69b88fcaf6e23,23-Sep,20230322,Reflection Token
HundredFinance_2_exp,0x6e9ebcdebbabda04fa9f2e3bc21ea8b2e4fb4bf4f4670cb8483e2f0b2604f451,23-Apr,20230415,Donate Inflation ExchangeRate & Rounding Error
Audius_exp,0xfefd829e246002a8fd061eede7501bccb6e244a9aacea0ebceaecef5d877a984,22-Jul,20230424,Business Logic Flaw
DEI_exp,0xb1141785b7b94eb37c39c37f0272744c6e79ca1517529fec3f4af59d4c3c37ef,23-May,20230505,Wrong Implementation
HODLCapital_exp,0xedc214a62ff6fd764200ddaa8ceae54f842279eadab80900be5f29d0b75212df,23-May,20230509,Reflection Token
BIGFI_exp,0x9fe19093a62a7037d04617b3ac4fbf5cb2d75d8cb6057e7e1b3c75cbbd5a5adc,23-Mar,20230513,Business Logic Flaw
GPT_exp,0xb77cb34cd01204bdad930d8c172af12462eef58dea16199185b77147d6533391,23-May,20230525,Fee Mechanism Exploitation
FDP_exp,0x09925028ce5d6a54801d04ff8f39e79af6c24289e84b301ddcdb6adfa51e901b,23-Feb,20230529,Wrong Balance Check
AUR_exp,0xb3bc6ca257387eae1cea3b997eb489c1a9c208d09ec4d117198029277468e25d,22-Nov,20230529,Lack Slippage Protection
ERC20TokenBank_exp,0x578a195e05f04b19fd8af6358dc6407aa1add87c3167f053beb990d6b4735f26,23-May,20230531,Price Manipulation
Cellframe_exp,0x943c2a5f89bc0c17f3fe1520ec6215ed8c6b897ce7f22f1b207fea3f79ae09a6,23-Jun,20230601,Calculation Issues During Liquidity Migration
DDCoin_exp,0xd92bf51b9bf464420e1261cfcd8b291ee05d5fbffbfbb316ec95131779f80809,23-Jun,20230601,Flashloan Attack and Smart Contract Vulnerability
Cellframe_exp,0xe2d496ccc3c5fd65a55048391662b8d40ddb5952dc26c715c702ba3929158cb9,23-Jun,20230602,Calculation Issues During Liquidity Migration
CompounderFinance_exp,0xcff84cc137c92e427f720ca1f2b36fbad793f34ec5117eed127060686e6797b1,23-Jun,20230607,Manipulation of Funds Through Fluctuations
DEPUSDT_LEVUSDC_exp,0x800a5b3178f680feebb81af69bd3dff791b886d4ce31615e601f2bb1f543bb2e,23-Jun,20230615,Incorrect Access Control
CFC_exp,0xa3c130ed8348919f73cbefce0f22d46fa381c8def93654e391ddc95553240c1e,23-Jun,20230615,Uniswap Skim Token Balance Attack
DEPUSDT_LEVUSDC_exp,0xf0a13b445674094c455de9e947a25bade75cac9f5176695fca418898ea25742f,23-Jun,20230616,Incorrect Access Control
ARA_exp,0xd87cdecd5320301bf9a985cc17f6944e7e7c1fbb471c80076ef2d031cc3023b2,23-Jun,20230618,Incorrect Handling of Permissions
